Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene stable ID,Gene name,Strand
KI270721.1,52666,52734,ENSG00000276351,,1
KI270713.1,31698,32528,ENSG00000277475,,-1
KI270721.1,2585,11802,ENSG00000276345,,1
KI270713.1,21861,22024,ENSG00000275405,U1,-1
KI270721.1,51722,51792,ENSG00000273532,,1
GL000225.1,183252,183364,ENSG00000276711,U2,1
GL000218.1,51867,54893,ENSG00000278384,,-1
KI270733.1,167218,167307,ENSG00000276312,,1
KI270733.1,128877,129029,ENSG00000276700,RNA5-8SN4,1
KI270733.1,173956,174108,ENSG00000275757,5_8S_rRNA,1
KI270733.1,122136,122225,ENSG00000273739,,1
KI270728.1,17234,19833,ENSG00000274175,,1
KI270728.1,1139577,1147868,ENSG00000273554,,-1
KI270728.1,933862,936467,ENSG00000275869,,-1
KI270728.1,1109945,1110235,ENSG00000278510,,1
KI270728.1,137798,139135,ENSG00000273843,,1
KI270728.1,1270984,1271271,ENSG00000277836,,1
KI270750.1,148668,148843,ENSG00000277374,U1,1
GL000205.2,93050,93150,ENSG00000276932,Y_RNA,-1
GL000194.1,53590,115018,ENSG00000277400,,-1
GL000194.1,53594,115055,ENSG00000274847,MAFIP,-1
HG1046_PATCH,23142,23609,ENSG00000291360,RPL23AP45,1
GL000195.1,37434,37534,ENSG00000277428,Y_RNA,-1
GL000195.1,42939,49164,ENSG00000276256,,-1
GL000219.1,54224,83311,ENSG00000273748,,-1
KI270726.1,41444,41876,ENSG00000275063,,1
KI270726.1,26241,26534,ENSG00000277856,,1
GL000009.2,56140,58376,ENSG00000278704,,-1
HG1342_HG2282_PATCH,4199,4672,ENSG00000282162,LINC01784,-1
HG1342_HG2282_PATCH,6118,12923,ENSG00000281934,PRAMEF11,-1
HG1342_HG2282_PATCH,19638,22870,ENSG00000282116,PRAMEF30P,-1
HG1342_HG2282_PATCH,28921,30238,ENSG00000282175,HNRNPCL1,-1
HG1342_HG2282_PATCH,38599,43422,ENSG00000282817,PRAMEF2,1
HG1342_HG2282_PATCH,60725,67714,ENSG00000282584,PRAMEF4,-1
HG1342_HG2282_PATCH,74409,79783,ENSG00000282663,PRAMEF10,-1
HG1342_HG2282_PATCH,98123,101995,ENSG00000279195,PRAMEF7,1
HG1342_HG2282_PATCH,104067,104173,ENSG00000282338,RNU6-1072P,1
HG1342_HG2282_PATCH,107675,109766,ENSG00000282549,PRAMEF29P,1
HG1342_HG2282_PATCH,119985,129093,ENSG00000282119,PRAMEF6,-1
HG1342_HG2282_PATCH,183679,186470,ENSG00000282791,PRAMEF28P,1
HG1342_HG2282_PATCH,203816,210831,ENSG00000282437,PRAMEF27,-1
HG1342_HG2282_PATCH,215209,216569,ENSG00000282559,HNRNPCL3,1
HG1342_HG2282_PATCH,223017,232224,ENSG00000282566,PRAMEF25,1
HG1342_HG2282_PATCH,249519,252311,ENSG00000282258,PRAMEF34P,-1
HG1342_HG2282_PATCH,258743,260029,ENSG00000282562,PRAMEF35P,-1
HG1342_HG2282_PATCH,269828,271194,ENSG00000282530,HNRNPCL2,-1
HG1342_HG2282_PATCH,301321,301800,ENSG00000282341,,-1
HG1342_HG2282_PATCH,303245,310301,ENSG00000281987,PRAMEF26,-1
HG1342_HG2282_PATCH,318926,319807,ENSG00000282095,HNRNPCL4,-1
HG1342_HG2282_PATCH,326795,333804,ENSG00000282298,PRAMEF9,1
HG1342_HG2282_PATCH,350528,355749,ENSG00000282741,PRAMEF13,-1
HG1342_HG2282_PATCH,377045,380446,ENSG00000282212,PRAMEF18,-1
HG1342_HG2282_PATCH,400203,402992,ENSG00000282289,PRAMEF31P,1
HG1342_HG2282_PATCH,408552,417654,ENSG00000282424,PRAMEF5,1
HG1342_HG2282_PATCH,427879,429967,ENSG00000282216,PRAMEF32P,-1
HG1342_HG2282_PATCH,433465,433571,ENSG00000282288,RNU6-771P,-1
HG1342_HG2282_PATCH,435375,439514,ENSG00000282583,PRAMEF8,-1
HG1342_HG2282_PATCH,457879,463247,ENSG00000282125,PRAMEF33,1
HG1342_HG2282_PATCH,283158,285955,ENSG00000282468,PRAMEF36P,1
HG1342_HG2282_PATCH,284133,285749,ENSG00000290624,,1
HG151_NOVEL_TEST,60669,61653,ENSG00000262647,OR9G4,-1
HG151_NOVEL_TEST,137423,138358,ENSG00000281107,OR5G3,-1
HG151_NOVEL_TEST,58021,58938,ENSG00000262268,OR9G3P,1
HG151_NOVEL_TEST,93103,94048,ENSG00000281313,OR5G1P,-1
HG151_NOVEL_TEST,108048,108807,ENSG00000281279,OR5G4P,-1
HG151_NOVEL_TEST,68865,69744,ENSG00000281777,OR9G2P,-1
HG151_NOVEL_TEST,7154,8071,ENSG00000261958,OR9G1,1
HG151_NOVEL_TEST,54158,54304,ENSG00000281683,,-1
HG151_NOVEL_TEST,18234,19151,ENSG00000262191,OR9G9,1
HG151_NOVEL_TEST,166410,189093,ENSG00000281839,LINC02735,1
HG151_NOVEL_TEST,119698,120636,ENSG00000262535,OR5G5P,-1
HG151_NOVEL_TEST,119918,138264,ENSG00000290500,,-1
HG1524_PATCH,18042,39335,ENSG00000288263,GRK1,1
HG1524_PATCH,50110,52688,ENSG00000288305,LINC00552,-1
HG152_PATCH,8637,43920,ENSG00000291426,TOLLIP,-1
HG152_PATCH,44035,44973,ENSG00000291427,TOLLIP-DT,1
HG152_PATCH,67516,71334,ENSG00000291429,,-1
HG152_PATCH,84625,98552,ENSG00000291430,LINC02689,1
HG152_PATCH,124165,196955,ENSG00000291428,BRSK2,1
HG152_PATCH,198848,201898,ENSG00000291441,,-1
HG152_PATCH,294027,312247,ENSG00000291431,DUSP8,-1
HG152_PATCH,311329,339160,ENSG00000291432,KRTAP5-AS1,1
HG152_PATCH,324318,325259,ENSG00000291433,KRTAP5-1,-1
HG152_PATCH,337153,338270,ENSG00000291434,KRTAP5-2,-1
HG152_PATCH,347541,348439,ENSG00000291435,KRTAP5-3,-1
HG152_PATCH,360934,362114,ENSG00000291440,KRTAP5-4,-1
HG152_PATCH,369751,370906,ENSG00000291443,KRTAP5-5,1
HG152_PATCH,402560,403319,ENSG00000291436,,-1
HG152_PATCH,405573,407832,ENSG00000291437,FAM99A,1
HG152_PATCH,423245,425605,ENSG00000291438,FAM99B,-1
HG152_PATCH,428273,429032,ENSG00000291439,LINC02708,1
HG152_PATCH,203723,274455,ENSG00000291442,MOB2,-1
Y,8280198,8282209,ENSG00000215601,TSPY24P,1
Y,7853686,7854876,ENSG00000215603,ZNF92P1Y,-1
Y,9610571,9621276,ENSG00000231436,RBMY3AP,-1
Y,4801685,4802848,ENSG00000225878,SERBP1P2,-1
Y,7687739,7689548,ENSG00000236435,TSPY12P,-1
Y,10070131,10070409,ENSG00000278478,,1
Y,11332329,11333595,ENSG00000258991,DUX4L19,1
Y,7803996,7810683,ENSG00000237048,TTTY12,1
Y,9706824,9715262,ENSG00000147761,TTTY7B,-1
Y,14941746,14942715,ENSG00000224518,,1
Y,9030594,9039988,ENSG00000231988,OFD1P3Y,1
Y,7671743,7676024,ENSG00000238073,RBMY2HP,-1
Y,8517364,8517748,ENSG00000275866,,-1
Y,22439593,22441458,ENSG00000131538,TTTY6,-1
Y,17464879,17465214,ENSG00000271595,ELOCP35,-1
Y,11340579,11385687,ENSG00000183704,SLC9B1P1,-1
Y,3682805,3683868,ENSG00000232927,USP12PY,1
Y,9910798,9911962,ENSG00000239225,TTTY23,1
Y,20570222,20570519,ENSG00000277438,KDM5DP1,-1
Y,6449468,6457906,ENSG00000147753,TTTY7,1
Y,8550518,8713825,ENSG00000286217,LINC00279,1
Y,11314921,11316187,ENSG00000259154,DUX4L17,1
Y,22490397,22514637,ENSG00000169789,PRY,1
Y,9869664,9870781,ENSG00000231874,TSPY18P,1
Y,22646031,22646327,ENSG00000273589,,-1
Y,10173853,10174207,ENSG00000226061,PCMTD1P1,1
Y,7905536,7907303,ENSG00000273863,,-1
Y,22537047,22537849,ENSG00000228571,HSFY7P,1
Y,11473727,11474237,ENSG00000271375,,-1
Y,8350931,8352143,ENSG00000224634,ZNF736P6Y,1
Y,5887504,5888740,ENSG00000285470,TUSC2P1,1
Y,21927521,21937150,ENSG00000226092,RBMY2AP,-1
Y,6406244,6462091,ENSG00000212856,TTTY2B,-1
Y,9717653,9721296,ENSG00000228890,TTTY21,-1
Y,15348662,15456074,ENSG00000234620,PUDPP1,-1
HG1532_PATCH,835225,845930,ENSG00000291444,RBMY3AP,-1
Y,7690511,7692678,ENSG00000236690,,1
HG1532_PATCH,33367,34984,ENSG00000291445,CDY3P,-1
HG1532_PATCH,848837,851006,ENSG00000291446,TSPY25P,1
Y,11085476,11086061,ENSG00000273693,CDRT15P10,-1
HG1532_PATCH,50976,53085,ENSG00000291447,USP9YP22,1
HG1532_PATCH,864903,865370,ENSG00000291448,TSPY16P,-1
HG1532_PATCH,56911,71893,ENSG00000291449,USP9YP4,-1
Y,12537650,12860839,ENSG00000114374,USP9Y,1
HG1532_PATCH,98197,98529,ENSG00000291450,ELOCP4,1
HG1532_PATCH,178412,190151,ENSG00000291451,RBMY1A3P,-1
HG1532_PATCH,193081,193329,ENSG00000291452,,1
HG1532_PATCH,197162,202114,ENSG00000291453,TTTY20,-1
HG1532_PATCH,214793,224096,ENSG00000291454,FAM197Y8,-1
HG1532_PATCH,225079,227881,ENSG00000291455,TSPY8,1
HG1532_PATCH,235085,303872,ENSG00000291456,FAM197Y7,-1
HG1532_PATCH,303320,305312,ENSG00000291457,,-1
HG1532_PATCH,204746,207566,ENSG00000291458,TSPY4,1
HG1532_PATCH,488788,491602,ENSG00000291459,TSPY9,1
HG1532_PATCH,384417,447256,ENSG00000291460,FAM197Y2,-1
HG1532_PATCH,506130,508122,ENSG00000291461,FAM197Y4,-1
HG1532_PATCH,460285,506463,ENSG00000291462,FAM197Y4,-1
Y,22071756,22096007,ENSG00000169807,PRY2,-1
Y,9624183,9626352,ENSG00000234110,TSPY25P,1
Y,7678899,7681028,ENSG00000223422,,1
Y,21972313,22005349,ENSG00000231159,OFD1P8Y,1
Y,3777997,3779546,ENSG00000225653,RNF19BPY,-1
Y,21895394,21897559,ENSG00000251618,,1
Y,22183850,22186021,ENSG00000229159,TSPY23P,1
Y,17516836,17519038,ENSG00000228578,TUBB1P2,-1
Y,10171590,10172725,ENSG00000231411,DUX4L31,-1
Y,9905595,9908139,ENSG00000187657,TSPY13P,-1
Y,7656968,7657352,ENSG00000275280,,1
Y,11395699,11397076,ENSG00000270242,ACTR3BP1,1
Y,12244752,12245457,ENSG00000236477,RPS24P1,1
Y,6390431,6411564,ENSG00000129816,TTTY1B,1
Y,19986575,19987852,ENSG00000237997,RCC2P2,-1
Y,7913422,7914090,ENSG00000244246,ZNF736P8Y,-1
Y,9951553,9959423,ENSG00000234950,RBMY2OP,1
Y,20575776,20593154,ENSG00000198692,EIF1AY,1
Y,6303957,6305074,ENSG00000234583,TSPY19P,-1
Y,22973819,23005465,ENSG00000183753,BPY2,1
Y,11445418,11445564,ENSG00000225433,MTND1P12,-1
Y,15547216,15593331,ENSG00000227166,STSP1,1
Y,9813315,9817513,ENSG00000228379,,1
HG1535_PATCH,52742,53074,ENSG00000285019,ELOCP5,-1
HG1535_PATCH,58534,60100,ENSG00000285196,CDY10P,-1
Y,56855244,56855488,ENSG00000235857,CTBP2P1,1
HG1535_PATCH,82985,95067,ENSG00000285308,USP9YP3,1
Y,8363536,8363959,ENSG00000223955,MTND6P1,-1
HG1535_PATCH,98305,102177,ENSG00000285028,USP9YP8,-1
Y,6158802,6159265,ENSG00000237195,DLGAP5P1,1
HG1535_PATCH,117629,119279,ENSG00000285455,CDY11P,1
Y,10190377,10192298,ENSG00000237447,CDC27P2,-1
HG1535_PATCH,198642,199281,ENSG00000285477,OFD1P16Y,-1
Y,6470773,6473630,ENSG00000185700,TTTY8B,-1
Y,11335627,11337693,ENSG00000270455,PABPC1P5,1
Y,22305925,22307951,ENSG00000229940,TSPY22P,-1
Y,11781052,11782527,ENSG00000234385,RCC2P1,-1
Y,12537773,12544883,ENSG00000226863,SHROOM2P1,1
Y,9740584,9758476,ENSG00000212855,TTTY2,1
Y,21940012,21941593,ENSG00000237968,,1
Y,8682594,8700977,ENSG00000233699,TTTY18,-1
Y,12661309,12663478,ENSG00000286009,,-1
Y,11107065,11107263,ENSG00000271365,,-1
Y,11321557,11322823,ENSG00000259029,DUX4L18,1
Y,9640249,9640716,ENSG00000226223,TSPY16P,-1
Y,6492976,6496757,ENSG00000235895,,-1
Y,16599730,16644539,ENSG00000286201,,-1
Y,6328052,6343323,ENSG00000223744,RBMY2GP,1
Y,22866544,22867756,ENSG00000215537,ZNF736P11Y,-1
Y,22580989,22614081,ENSG00000230476,OFD1P9Y,-1
Y,10197256,10199103,ENSG00000225840,,-1
Y,7932997,7937640,ENSG00000229745,BPY2DP,-1
Y,8127130,8144203,ENSG00000227204,RBMY2JP,1
Y,11412548,11418716,ENSG00000275828,CHEK2P1,1
Y,9665229,9669010,ENSG00000232617,,1
Y,22198429,22203712,ENSG00000225615,RBMY2UP,1
Y,17552800,17579754,ENSG00000230663,FAM224B,-1
Y,20001185,20012204,ENSG00000232522,ZNF886P,-1
Y,22517242,22517573,ENSG00000234131,ELOCP8,-1
Y,21817579,21818218,ENSG00000277519,OFD1P16Y,-1
Y,22330452,22332500,ENSG00000259247,TTTY25P,1
Y,9544917,9547147,ENSG00000224336,FAM197Y1,-1
Y,8931069,8931454,ENSG00000273731,,-1
Y,22100814,22147484,ENSG00000236951,,-1
Y,11922536,11923769,ENSG00000215583,ASS1P6,-1
Y,11178306,11178816,ENSG00000274162,SNX18P1Y,1
Y,9831418,9846696,ENSG00000229208,RBMY2NP,-1
Y,9753156,9774289,ENSG00000129845,TTTY1,-1
Y,21918935,21921106,ENSG00000227444,,1
Y,12618983,12634402,ENSG00000233774,MED14P1,-1
Y,22048554,22049347,ENSG00000232475,HSFY5P,-1
Y,20390051,20396796,ENSG00000228764,ZNF885P,1
Y,12252321,12258033,ENSG00000232226,ARSFP1,-1
Y,11445708,11446101,ENSG00000224567,,-1
Y,7990987,7991806,ENSG00000241200,ZNF736P7Y,-1
Y,17192826,17193652,ENSG00000228518,SURF6P1,1
Y,12440046,12507369,ENSG00000227447,XGY1,-1
Y,11144250,11144492,ENSG00000274231,,1
Y,3786282,3864893,ENSG00000286050,,1
Y,11173618,11173821,ENSG00000274502,ANKRD20A6P,1
Y,6306042,6308202,ENSG00000235094,,1
Y,7845485,7846454,ENSG00000278854,,-1
Y,9691100,9693957,ENSG00000183385,TTTY8,1
Y,8264449,8277188,ENSG00000225809,RBMY2KP,-1
Y,22400403,22402568,ENSG00000237902,TSPY21P,-1
Y,8704472,8705283,ENSG00000232419,TTTY19,1
Y,6520463,6520929,ENSG00000232620,TSPY17P,1
Y,22936455,22973284,ENSG00000226906,TTTY4,1
Y,8971751,8974095,ENSG00000230025,,-1
Y,9548108,9550681,ENSG00000236786,TSPY15P,1
Y,9784372,9833895,ENSG00000224075,TTTY22,1
Y,6266593,6269275,ENSG00000238235,TSPY11P,1
Y,9868462,9868702,ENSG00000274445,,-1
Y,11957208,11987386,ENSG00000235649,MXRA5Y,1
Y,11306918,11308181,ENSG00000258567,DUX4L16,1
Y,9527880,9530682,ENSG00000236424,TSPY10,1
HG1651_PATCH,117294,117707,ENSG00000282467,,1
Y,8364032,8365150,ENSG00000234179,MTCYBP1,1
Y,11107389,11107596,ENSG00000271309,,-1
Y,22049755,22058113,ENSG00000229553,USP9YP17,-1
Y,22851584,22852715,ENSG00000228240,TTTY17A,1
Y,3293808,3294826,ENSG00000234652,AGPAT5P1,1
Y,3851224,3852869,ENSG00000218410,,-1
Y,10036195,10038375,ENSG00000243643,TSPY20P,1
Y,17500958,17515018,ENSG00000224989,FAM41AY1,1
Y,22144966,22146831,ENSG00000131548,TTTY6B,1
Y,22068820,22069151,ENSG00000232029,ELOCP15,1
Y,11042722,11042943,ENSG00000273858,,-1
Y,8413037,8414054,ENSG00000227830,TRIM60P3Y,-1
Y,8371663,8372030,ENSG00000226529,MTND1P1,1
Y,6357219,6369921,ENSG00000229643,LINC00280,-1
Y,19932130,19932500,ENSG00000274837,,-1
Y,3549652,3549810,ENSG00000216777,PRRC2CP1,-1
Y,8418791,8419900,ENSG00000216824,ZNF736P10Y,-1
Y,6273579,6274065,ENSG00000275352,,-1
Y,22861112,22861834,ENSG00000276829,,-1
Y,9466955,9469749,ENSG00000258992,TSPY1,1
Y,22064698,22065712,ENSG00000228850,CDY12P,1
Y,17514502,17516715,ENSG00000283076,,1
Y,8372241,8372710,ENSG00000234850,MTND2P3,1
Y,22520681,22521695,ENSG00000224873,CDY13P,-1
Y,22209331,22216580,ENSG00000229234,RBMY1KP,1
Y,11107719,11107887,ENSG00000270570,,-1
Y,6443434,6450685,ENSG00000237563,TTTY21B,1
Y,14276212,14277489,ENSG00000223517,,-1
Y,8901203,8903276,ENSG00000228207,,-1
Y,22670616,22672859,ENSG00000224917,,-1
Y,21825441,21846721,ENSG00000286187,,1
Y,12354096,12387328,ENSG00000225117,ARSDP1,1
Y,22296798,22298876,ENSG00000215560,TTTY5,-1
Y,12801973,12803830,ENSG00000228411,CDY4P,-1
Y,22438940,22485592,ENSG00000235059,,1
Y,21880076,21894526,ENSG00000244395,RBMY1D,-1
HG1708_PATCH,23101,24163,ENSG00000284255,OR4C12,-1
HG1708_PATCH,60426,61323,ENSG00000284278,OR4C48P,1
HG1708_PATCH,74500,75420,ENSG00000292249,OR4C45,1
HG1708_PATCH,95036,95935,ENSG00000284123,OR4C49P,-1
Y,22762851,22769787,ENSG00000230727,RBMY2WP,-1
Y,22528281,22536639,ENSG00000230814,USP9YP24,1
Y,21871331,21873550,ENSG00000229725,,1
Y,20464916,20575519,ENSG00000229236,TTTY10,-1
Y,3866306,3866722,ENSG00000229518,UBE2V1P3,-1
Y,12321623,12322835,ENSG00000232730,FAM8A4P,1
Y,4036497,4100320,ENSG00000229308,,1
Y,23017063,23017821,ENSG00000244000,,1
Y,23025594,23026663,ENSG00000232764,TRIM60P8Y,1
Y,14907898,14908068,ENSG00000236131,MED13P1,1
Y,9507596,9510175,ENSG00000270073,TSPY6P,1
Y,14941547,14941750,ENSG00000227949,CYCSP46,-1
Y,4174985,4175090,ENSG00000252900,RNU6-303P,-1
Y,10090410,10090528,ENSG00000251766,RNA5SP518,-1
Y,16138248,16138379,ENSG00000252689,,-1
Y,12273473,12273764,ENSG00000243980,RN7SL702P,1
Y,17557864,17557976,ENSG00000252315,RNA5SP520,1
Y,17559774,17559889,ENSG00000252012,RNA5SP521,1
Y,17568962,17569051,ENSG00000273966,,-1
Y,16248935,16249041,ENSG00000252173,RNU6-109P,1
Y,10200155,10200306,ENSG00000251705,RNA5-8SP6,1
Y,10092875,10092993,ENSG00000252289,RNA5SP519,-1
Y,16336283,16336389,ENSG00000252323,RNU6-184P,-1
Y,18731440,18773735,ENSG00000169953,HSFY2,-1
Y,18741843,18741986,ENSG00000236429,GPM6BP2,-1
Y,18776279,18779427,ENSG00000249501,USP9YP2,-1
Y,18787750,18788080,ENSG00000228193,ELOCP14,1
Y,18790709,18791051,ENSG00000248573,PRYP6,-1
Y,18811338,18811829,ENSG00000230904,XKRYP2,-1
Y,18826107,18829487,ENSG00000238135,USP9YP10,1
Y,18833002,18839313,ENSG00000224151,USP9YP28,-1
Y,18833729,18833890,ENSG00000251970,RNU1-41P,-1
Y,18848264,18867280,ENSG00000238088,OFD1P7Y,1
Y,18872102,18872272,ENSG00000217179,MTCYBP2,1
Y,18985175,18986398,ENSG00000217896,ZNF839P1,1
Y,18992467,18992709,ENSG00000185275,CD24P4,-1
Y,19018983,19019087,ENSG00000252766,RNU6-255P,-1
Y,19253960,19260875,ENSG00000274282,,-1
Y,19327569,19328573,ENSG00000234529,GAPDHP19,1
Y,17621259,17625832,ENSG00000238191,CLUHP1,-1
Y,17628513,17629402,ENSG00000226353,TAF9P1,1
Y,17705968,17708185,ENSG00000275578,,-1
Y,17721598,17723177,ENSG00000226449,CDY5P,1
Y,17726752,17727080,ENSG00000225896,ELOCP36,1
Y,17729528,17744596,ENSG00000224166,PRYP1,-1
Y,17757001,17758125,ENSG00000229129,ACTG1P2,-1
Y,17782210,17784815,ENSG00000223555,USP9YP23,1
Y,17788315,17789484,ENSG00000235521,USP9YP27,-1
Y,17789003,17789162,ENSG00000252513,RNU1-128P,-1
Y,17797983,17800696,ENSG00000224964,TRAPPC2P3,-1
Y,17809807,17825329,ENSG00000226011,OFD1P1Y,1
Y,17837201,17837528,ENSG00000225740,ELOCP6,-1
Y,17882099,17883708,ENSG00000229138,CDY6P,-1
Y,17908755,17910806,ENSG00000224485,USP9YP7,1
Y,17912699,17921630,ENSG00000226116,USP9YP6,-1
Y,17951589,17953500,ENSG00000237558,CDY7P,1
Y,17984349,17993260,ENSG00000233378,USP9YP34,1
Y,17995201,17997252,ENSG00000237616,USP9YP32,-1
Y,18022299,18023908,ENSG00000224033,CDY8P,1
Y,18068483,18068810,ENSG00000230412,ELOCP12,1
Y,18105314,18108102,ENSG00000225895,TRAPPC2P8,1
Y,18116527,18117695,ENSG00000233120,USP9YP15,1
Y,18116848,18117007,ENSG00000252166,RNU1-95P,1
Y,18121195,18123799,ENSG00000232744,USP9YP16,-1
Y,18147884,18149008,ENSG00000229465,ACTG1P11,1
Y,18161366,18176484,ENSG00000231311,PRYP2,1
Y,18178932,18179260,ENSG00000236599,ELOCP26,-1
Y,18182835,18184414,ENSG00000232899,CDY9P,-1
Y,18276607,18277495,ENSG00000229302,TAF9P2,-1
Y,18280178,18284761,ENSG00000228945,CLUHP2,1
Y,18326253,18353210,ENSG00000233522,FAM224A,1
Y,18336960,18337049,ENSG00000278391,,1
Y,18346123,18346238,ENSG00000251953,RNA5SP522,-1
Y,18348035,18348147,ENSG00000252667,RNA5SP523,-1
Y,18386974,18389151,ENSG00000249726,TUBB1P1,1
Y,18390994,18405046,ENSG00000226362,FAM41AY2,-1
Y,18440797,18441125,ENSG00000225716,ELOCP13,1
Y,18453150,18472137,ENSG00000229406,OFD1P4Y,-1
Y,18481087,18487400,ENSG00000227494,USP9YP14,1
Y,18486511,18486672,ENSG00000252209,RNU1-48P,1
Y,18490915,18494295,ENSG00000249634,USP9YP5,-1
Y,18491740,18547698,ENSG00000251510,,1
Y,18508577,18509068,ENSG00000238067,XKRYP1,1
Y,18529358,18529623,ENSG00000233546,PRYP5,1
Y,18532326,18532656,ENSG00000230377,ELOCP7,-1
Y,18540980,18544128,ENSG00000250951,USP9YP1,1
Y,18578417,18578560,ENSG00000230458,GPM6BP1,1
Y,18581206,18590521,ENSG00000131007,TTTY9B,-1
Y,18649671,18650279,ENSG00000235479,RAB9AP4,1
Y,18655520,18656190,ENSG00000249606,TRAPPC2P7,-1
Y,18772706,19077416,ENSG00000176728,TTTY14,-1
Y,19598188,19598757,ENSG00000267793,,1
Y,19691941,19694606,ENSG00000260197,,-1
Y,19744756,19759978,ENSG00000288049,,1
Y,19703865,19744939,ENSG00000012817,KDM5D,-1
HG1815_PATCH,2459,2524,ENSG00000284767,MIR3649,-1
HG1815_PATCH,30718,130818,ENSG00000285070,ADIPOR2,1
HG1815_PATCH,37974,40188,ENSG00000285310,,-1
HG1815_PATCH,83341,89243,ENSG00000285682,,-1
HG1815_PATCH,99375,100155,ENSG00000284817,RPS4XP14,-1
HG1815_PATCH,134107,260810,ENSG00000284953,CACNA2D4,-1
HG1815_PATCH,143006,149630,ENSG00000286298,,1
HG1815_PATCH,162411,178897,ENSG00000285383,LRTM2,1
HG1815_PATCH,260095,265011,ENSG00000285149,,1
HG1815_PATCH,271346,278718,ENSG00000285233,LINC00940,-1
HG1815_PATCH,288197,346679,ENSG00000284850,DCP1B,-1
HG1815_PATCH,346810,353536,ENSG00000285355,,1
HG1815_PATCH,360357,362676,ENSG00000285291,CACNA1C-IT1,1
HG1815_PATCH,559606,560064,ENSG00000285324,,-1
HG1815_PATCH,561629,565623,ENSG00000285107,CACNA1C-AS4,-1
HG1815_PATCH,617892,637053,ENSG00000284775,CACNA1C-IT3,1
HG1815_PATCH,680977,683818,ENSG00000285924,,-1
Y,18546691,18588963,ENSG00000172468,HSFY1,1
HG1815_PATCH,788305,805508,ENSG00000285983,,-1
HG1815_PATCH,951466,955556,ENSG00000284942,CACNA1C-AS3,-1
HG1815_PATCH,1008053,1009085,ENSG00000284759,,1
HG1815_PATCH,1016616,1020336,ENSG00000285101,CACNA1C-AS2,-1
HG1815_PATCH,1024117,1039316,ENSG00000285335,CACNA1C-AS1,-1
